Rank,Feature,Mean absolute standardized coefficient,Median,IQR
1,mean:delta_time,2.4563,1.7547,1.0051–3.7266
2,max:delta_time,1.8518,1.6722,0.7343–2.9080
3,derived:pause_duration,1.4439,1.5213,0.9559–2.1142
4,std:button_state,1.3515,0.8662,0.2467–2.7259
5,mean:jerk,1.3515,1.4076,0.3048–2.1998
6,mean:button_state,1.2764,1.1345,0.7909–1.4208
7,derived:click_timing,1.2305,0.9081,0.5979–1.4560
8,std:delta_time,1.0769,1.0825,0.3485–1.4887
9,std:jerk,0.9932,1.1899,0.3397–1.3853
10,std:path_progress,0.9817,1.0328,0.4977–1.4903
11,mean:path_progress,0.9025,0.7947,0.4055–1.3148
12,derived:jerk_energy,0.8363,0.5587,0.1854–0.8682
13,std:running_path_efficiency,0.7974,0.5725,0.2353–1.1598
14,derived:acceleration_energy,0.7808,0.5259,0.1418–0.8115
15,mean:target_closure_rate,0.7478,0.7232,0.3558–1.0647
16,mean:running_path_efficiency,0.7246,0.7018,0.3059–1.0733
17,std:jerk_x,0.7068,0.5596,0.2434–1.0516
18,mean:acceleration,0.6946,0.4667,0.2950–0.8411
19,derived:mean_acceleration,0.6946,0.4667,0.2950–0.8411
20,mean:target_distance,0.6658,0.5914,0.3239–0.9166
21,std:acceleration,0.6528,0.5454,0.2576–1.2026
22,std:cross_track_error,0.5764,0.4587,0.2464–0.7532
23,mean:target_delta_x,0.5708,0.5094,0.1734–0.9156
24,std:speed,0.5690,0.3744,0.1908–1.0473
25,min:acceleration_y,0.5637,0.4692,0.2070–0.8486
26,derived:mean_speed,0.5603,0.5011,0.1926–0.7511
27,mean:speed,0.5603,0.5011,0.1926–0.7511
28,std:acceleration_y,0.5498,0.3195,0.1042–1.0056
29,max:heading,0.5369,0.3666,0.1815–0.6521
30,std:acceleration_x,0.5321,0.3670,0.0963–1.0055
31,derived:straight_distance,0.5207,0.4625,0.1968–0.7939
32,std:angular_velocity,0.5181,0.4299,0.2135–0.7982
33,min:jerk_x,0.5126,0.3747,0.1540–0.7866
34,min:acceleration_x,0.5061,0.3593,0.1758–0.7980
35,mean:angular_velocity,0.5053,0.3942,0.1731–0.8036
36,std:curvature,0.4988,0.5024,0.2400–0.7060
37,max:velocity_x,0.4858,0.3898,0.1279–0.6917
38,mean:target_delta_y,0.4844,0.4090,0.1636–0.7419
39,min:curvature,0.4830,0.3676,0.1925–0.7227
40,derived:path_efficiency,0.4810,0.3482,0.1931–0.6900
41,max:jerk_x,0.4801,0.3416,0.1610–0.7733
42,max:jerk_y,0.4670,0.4002,0.1969–0.6997
43,max:curvature,0.4632,0.4179,0.2461–0.6580
44,min:jerk_y,0.4594,0.4047,0.1786–0.6989
45,std:velocity_y,0.4487,0.3334,0.1522–0.6950
46,min:target_closure_rate,0.4482,0.3180,0.1388–0.6930
47,std:target_distance,0.4469,0.3165,0.0933–0.6493
48,std:delta_x,0.4467,0.3894,0.1894–0.6608
49,min:cross_track_error,0.4403,0.3704,0.1634–0.6230
50,max:target_closure_rate,0.4388,0.3731,0.2137–0.6154
51,mean:cross_track_error,0.4363,0.3649,0.2011–0.6596
52,max:speed,0.4353,0.4067,0.2439–0.6206
53,derived:max_speed,0.4353,0.4067,0.2439–0.6206
54,derived:dimensionless_jerk,0.4347,0.1139,0.0106–0.4093
55,max:acceleration_x,0.4322,0.3518,0.1540–0.6550
56,max:acceleration,0.4263,0.3314,0.1613–0.5381
57,derived:max_acceleration,0.4263,0.3314,0.1613–0.5381
58,max:acceleration_y,0.4253,0.4099,0.1311–0.6585
59,min:running_path_efficiency,0.4227,0.3561,0.1898–0.5901
60,max:target_distance,0.4099,0.3561,0.1408–0.6097
61,std:jerk_y,0.4054,0.3217,0.1691–0.5970
62,max:x_normalized,0.4022,0.3463,0.1671–0.6307
63,std:heading,0.3988,0.3258,0.1385–0.6011
64,max:delta_y,0.3891,0.2561,0.1025–0.5948
65,mean:delta_x,0.3845,0.3428,0.1241–0.5830
66,std:velocity_x,0.3737,0.3116,0.1109–0.6171
67,max:target_delta_y,0.3721,0.3494,0.1682–0.5072
68,max:target_delta_x,0.3580,0.2075,0.0849–0.5145
69,min:angular_velocity,0.3579,0.2731,0.1169–0.5077
70,mean:velocity_x,0.3562,0.2756,0.1039–0.5488
71,min:delta_y,0.3536,0.2929,0.1557–0.5113
72,min:target_delta_x,0.3529,0.2937,0.0978–0.5915
73,min:velocity_y,0.3504,0.3242,0.1786–0.4722
74,max:cross_track_error,0.3501,0.2895,0.1403–0.5142
75,min:velocity_x,0.3499,0.2903,0.1592–0.4591
76,max:jerk,0.3489,0.2265,0.0731–0.4235
77,min:heading,0.3480,0.2413,0.1200–0.4437
78,min:delta_x,0.3457,0.3040,0.1717–0.4928
79,std:target_closure_rate,0.3445,0.2604,0.1183–0.5007
80,mean:x_normalized,0.3412,0.2830,0.0936–0.5702
81,max:y_normalized,0.3365,0.3246,0.1872–0.4728
82,derived:path_length,0.3360,0.2069,0.0755–0.5239
83,std:delta_y,0.3320,0.2923,0.1368–0.4732
84,max:delta_x,0.3295,0.3163,0.1334–0.4717
85,std:target_heading_error,0.3223,0.2735,0.1361–0.4640
86,std:elapsed_time,0.3155,0.1785,0.0928–0.3682
87,min:target_delta_y,0.3106,0.2605,0.1416–0.4667
88,max:velocity_y,0.3024,0.2132,0.1186–0.3887
89,mean:delta_y,0.2918,0.2623,0.1082–0.4196
90,mean:jerk_x,0.2844,0.1724,0.0695–0.4227
91,mean:acceleration_y,0.2825,0.2429,0.0976–0.4235
92,min:x_normalized,0.2811,0.1991,0.0838–0.4284
93,mean:y_normalized,0.2796,0.2344,0.0958–0.4211
94,mean:curvature,0.2781,0.2306,0.0962–0.4244
95,min:target_heading_error,0.2717,0.2149,0.0910–0.3716
96,mean:elapsed_time,0.2695,0.2161,0.1154–0.3909
97,mean:target_heading_error,0.2695,0.1696,0.0821–0.2975
98,min:y_normalized,0.2663,0.1818,0.1056–0.3550
99,mean:heading,0.2614,0.1435,0.0696–0.2945
100,std:target_delta_x,0.2446,0.1944,0.0672–0.3951
101,std:x_normalized,0.2446,0.1943,0.0672–0.3951
102,mean:acceleration_x,0.2363,0.1787,0.0679–0.3579
103,mean:velocity_y,0.2314,0.1992,0.1021–0.3198
104,max:target_heading_error,0.2303,0.1759,0.0909–0.3021
105,mean:jerk_y,0.2290,0.1535,0.0733–0.3363
106,max:elapsed_time,0.2261,0.1697,0.0820–0.3134
107,derived:duration,0.2261,0.1697,0.0820–0.3134
108,max:angular_velocity,0.2166,0.1952,0.0923–0.2964
109,max:button_state,0.2158,0.0392,0.0123–0.2566
110,std:y_normalized,0.2110,0.1996,0.0861–0.3059
111,std:target_delta_y,0.2110,0.1996,0.0861–0.3059
112,min:target_distance,0.1872,0.1171,0.0580–0.2266
113,min:elapsed_time,0.0000,0.0000,0.0000–0.0000
114,min:delta_time,0.0000,0.0000,0.0000–0.0000
115,min:button_state,0.0000,0.0000,0.0000–0.0000
116,min:path_progress,0.0000,0.0000,0.0000–0.0000
117,min:speed,0.0000,0.0000,0.0000–0.0000
118,min:acceleration,0.0000,0.0000,0.0000–0.0000
119,min:jerk,0.0000,0.0000,0.0000–0.0000
120,max:path_progress,0.0000,0.0000,0.0000–0.0000
121,max:running_path_efficiency,0.0000,0.0000,0.0000–0.0000
