User,Validation FAR,Validation FRR,Test FAR,Test FRR,ROC-AUC,TN,FP,FN,TP
user_001,0.00%,0.00%,0.00%,33.33%,100.00%,23,0,1,2
user_002,0.00%,0.00%,0.00%,0.00%,100.00%,23,0,0,3
user_003,0.00%,0.00%,0.00%,0.00%,100.00%,24,0,0,2
user_004,0.00%,0.00%,0.00%,0.00%,100.00%,24,0,0,2
user_005,0.00%,20.00%,0.00%,0.00%,100.00%,23,0,0,3
user_006,0.00%,0.00%,0.00%,33.33%,98.55%,23,0,1,2
user_007,0.00%,0.00%,0.00%,33.33%,100.00%,23,0,1,2
user_008,0.00%,0.00%,0.00%,33.33%,97.10%,23,0,1,2
user_009,0.00%,0.00%,0.00%,0.00%,100.00%,25,0,0,1
user_010,0.00%,0.00%,0.00%,33.33%,95.65%,23,0,1,2
