Seed,Ordinary accuracy,Balanced accuracy,Macro FAR,Macro FRR,Macro ROC-AUC,Macro EER,TN,FP,FN,TP
0,97.31%,86.54%,0.00%,31.67%,100.00%,0.00%,234,0,7,19
1,95.77%,78.85%,0.00%,45.00%,99.02%,1.07%,234,0,11,15
2,95.77%,87.39%,2.14%,21.67%,98.99%,0.87%,229,5,6,20
3,95.77%,78.85%,0.00%,36.67%,99.57%,0.43%,234,0,11,15
4,96.15%,82.48%,0.43%,38.33%,99.42%,0.65%,233,1,9,17
5,94.23%,76.28%,1.30%,50.00%,97.75%,1.70%,231,3,12,14
6,96.15%,84.19%,0.87%,33.33%,99.42%,0.87%,232,2,8,18
7,96.54%,84.40%,0.43%,35.00%,97.17%,1.85%,233,1,8,18
8,96.92%,84.62%,0.00%,35.00%,99.02%,1.07%,234,0,8,18
9,97.31%,88.25%,0.43%,26.67%,98.51%,0.82%,233,1,6,20
10,96.15%,82.48%,0.40%,40.00%,99.20%,0.40%,233,1,9,17
11,95.38%,80.34%,0.83%,40.00%,99.31%,0.63%,232,2,10,16
12,98.08%,92.09%,0.40%,13.33%,99.60%,0.20%,233,1,4,22
13,95.38%,78.63%,0.40%,45.00%,98.30%,5.49%,233,1,11,15
14,93.85%,72.65%,0.80%,58.33%,98.33%,1.70%,232,2,14,12
15,97.31%,86.54%,0.00%,30.00%,99.86%,0.22%,234,0,7,19
16,96.54%,86.11%,0.87%,30.00%,98.70%,3.62%,232,2,7,19
17,96.15%,82.48%,0.40%,36.67%,98.91%,0.83%,233,1,9,17
18,95.77%,78.85%,0.00%,45.00%,99.02%,0.85%,234,0,11,15
19,95.77%,83.97%,1.27%,33.33%,98.48%,1.49%,231,3,8,18
20,97.69%,90.17%,0.43%,23.33%,99.57%,0.65%,233,1,5,21
21,96.54%,82.69%,0.00%,36.67%,98.80%,0.60%,234,0,9,17
22,95.38%,78.63%,0.40%,43.33%,99.02%,1.07%,233,1,11,15
23,95.77%,85.68%,1.63%,25.00%,99.31%,0.63%,230,4,7,19
24,95.38%,76.92%,0.00%,50.00%,99.06%,0.62%,234,0,12,14
25,96.15%,82.48%,0.43%,30.00%,98.55%,3.84%,233,1,9,17
26,95.38%,82.05%,1.30%,38.33%,94.78%,3.62%,231,3,9,17
27,96.15%,87.61%,1.74%,28.33%,99.57%,0.65%,230,4,6,20
28,95.38%,83.76%,1.63%,30.00%,97.86%,4.48%,230,4,8,18
29,95.38%,78.63%,0.40%,46.67%,98.44%,3.61%,233,1,11,15
