User,Mean FAR,Mean FRR,Mean ROC-AUC,FRR range,EER mean
user_001,0.72%,36.67%,99.23%,0.00%–100.00%,0.72%
user_002,0.43%,34.44%,99.61%,0.00%–100.00%,0.51%
user_003,0.00%,16.67%,100.00%,0.00%–50.00%,0.00%
user_004,0.00%,23.33%,100.00%,0.00%–100.00%,0.00%
user_005,0.43%,32.22%,98.70%,0.00%–100.00%,3.62%
user_006,1.16%,43.33%,98.12%,0.00%–100.00%,3.02%
user_007,0.58%,31.11%,99.66%,0.00%–66.67%,0.22%
user_008,0.72%,32.22%,98.94%,0.00%–100.00%,2.15%
user_009,2.27%,80.00%,95.47%,0.00%–100.00%,2.27%
user_010,0.00%,28.89%,98.12%,0.00%–100.00%,2.34%
