User,Permutation p,Cohen d,AUC 95% CI,FAR 95% CI,FRR 95% CI
user_001,0.00040,not estimable,100.00%–100.00%,0.00%–0.00%,0.00%–100.00%
user_002,0.00780,1.549,73.91%–100.00%,0.00%–13.04%,0.00%–100.00%
user_003,0.07429,1.058,54.17%–100.00%,8.33%–41.67%,0.00%–100.00%
user_004,0.00300,not estimable,100.00%–100.00%,0.00%–0.00%,0.00%–100.00%
user_005,0.00020,6.130,100.00%–100.00%,0.00%–0.00%,0.00%–0.00%
user_006,0.00270,1.626,85.51%–100.00%,4.35%–34.78%,0.00%–0.00%
user_007,0.00100,4.979,100.00%–100.00%,0.00%–13.04%,0.00%–0.00%
user_008,0.00050,3.570,91.30%–100.00%,0.00%–0.00%,0.00%–100.00%
user_009,0.07829,not estimable,88.00%–100.00%,16.00%–52.00%,0.00%–0.00%
user_010,0.00090,8.687,100.00%–100.00%,0.00%–0.00%,0.00%–100.00%
